clause_id,contract_id,clause_number,clause_title,clause_text,page_number,section_name,created_at
CTR-0A351C8591CB-CL-001,CTR-0A351C8591CB,1,,"Master Services Agreement Parties: Northwind Global Procurement Ltd. and Apex Data Systems Pvt. Ltd. Effective Date: 01 January 2026 Jurisdiction: State of New York, USA Illustrative Risk Profile: High This is a synthetic mock contract created for solution design, extraction, and risk-assessment demonstrations.",1,General,2026-06-14 13:49:38.890778 UTC
CTR-0A351C8591CB-CL-002,CTR-0A351C8591CB,2,1. Scope of Services,"1. Scope of Services Supplier shall provide data migration, integration support, and managed services for enterprise contract analytics systems as described in Statement of Work A and any future statements of work executed under this Agreement.",1,General,2026-06-14 13:49:38.890809 UTC
CTR-0A351C8591CB-CL-003,CTR-0A351C8591CB,3,2. Term,"2. Term This Agreement shall commence on the Effective Date and continue for an initial term of three (3) years. Thereafter, the Agreement shall automatically renew for successive two-year periods unless Customer provides written notice of non-renewal not less than one hundred and eighty (180) days before the end of the then-current term.",1,General,2026-06-14 13:49:38.890815 UTC
CTR-0A351C8591CB-CL-004,CTR-0A351C8591CB,4,3. Fees and Payment,3. Fees and Payment Invoices shall be payable within seven (7) days of receipt. Any disputed amount not raised by Customer within two (2) business days shall be deemed accepted and immediately due.,1,General,2026-06-14 13:49:38.890820 UTC
CTR-0A351C8591CB-CL-005,CTR-0A351C8591CB,5,4. Indemnity,"4. Indemnity Customer shall indemnify, defend, and hold harmless Supplier, its affiliates, officers, directors, employees, contractors, successors, and assigns from and against any and all claims, losses, liabilities, damages, penalties, fees, costs, and expenses of whatever nature, including attorneys' fees, arising out of or related to the services, whether or not caused in part by Supplier. Supplier's liability under this Agreement shall be unlimited.",1,General,2026-06-14 13:49:38.890824 UTC
CTR-0A351C8591CB-CL-006,CTR-0A351C8591CB,6,5. Limitation of Liability,"5. Limitation of Liability Notwithstanding anything to the contrary, Supplier shall have no liability cap and Customer acknowledges that monetary damages shall be insufficient for any breach by Customer.",1,General,2026-06-14 13:49:38.890828 UTC
CTR-0A351C8591CB-CL-007,CTR-0A351C8591CB,7,6. Confidentiality,6. Confidentiality Confidentiality obligations shall apply only to information conspicuously marked confidential at the time of disclosure and shall expire six (6) months after disclosure.,1,General,2026-06-14 13:49:38.890833 UTC
CTR-0A351C8591CB-CL-008,CTR-0A351C8591CB,8,7. Governing Law,"7. Governing Law This Agreement shall be governed by and construed in accordance with the laws of the State of New York, without regard to conflict of law principles.",1,General,2026-06-14 13:49:38.890837 UTC
CTR-0A351C8591CB-CL-009,CTR-0A351C8591CB,9,8. Termination,8. Termination Supplier may terminate this Agreement for convenience upon thirty (30) days' notice. Customer may terminate only upon Supplier's written consent.,1,General,2026-06-14 13:49:38.890840 UTC
CTR-0A351C8591CB-CL-010,CTR-0A351C8591CB,10,9. Data Protection,"9. Data Protection The parties will cooperate in good faith regarding privacy compliance; however, Supplier shall not be responsible for any data protection obligations unless separately agreed in writing. Author note: Contains auto-renewal, unlimited liability, weak confidentiality, one-sided termination, non-standard data protection.",1,General,2026-06-14 13:49:38.890845 UTC
CTR-B9F28362B79B-CL-001,CTR-B9F28362B79B,1,,"Software Licence Agreement Parties: Contoso Retail Operations GmbH and Meridian Workflow Solutions Ltd. Effective Date: 15 February 2026 Jurisdiction: England and Wales Illustrative Risk Profile: Medium This is a synthetic mock contract created for solution design, extraction, and risk-assessment demonstrations.",1,General,2026-06-14 13:49:49.925738 UTC
CTR-B9F28362B79B-CL-002,CTR-B9F28362B79B,2,1. Licence Grant,"1. Licence Grant Vendor grants Customer a non-exclusive, non-transferable licence to use the software for internal business purposes during the subscription term.",1,General,2026-06-14 13:49:49.925765 UTC
CTR-B9F28362B79B-CL-003,CTR-B9F28362B79B,3,2. Subscription Term,2. Subscription Term The subscription term is twelve (12) months and shall renew automatically for additional one-year periods unless cancelled sixty (60) days prior to renewal.,1,General,2026-06-14 13:49:49.925771 UTC
CTR-B9F28362B79B-CL-004,CTR-B9F28362B79B,4,3. Fees and Payment,"3. Fees and Payment Fees are payable within thirty (30) days of invoice date. Late payments may accrue interest at 1.5% per month or the maximum rate permitted by law, whichever is lower.",1,General,2026-06-14 13:49:49.925776 UTC
CTR-B9F28362B79B-CL-005,CTR-B9F28362B79B,5,4. Service Levels,"4. Service Levels Vendor shall use commercially reasonable efforts to make the software available 99.5% of the time each calendar month, excluding planned maintenance.",1,General,2026-06-14 13:49:49.925781 UTC
CTR-B9F28362B79B-CL-006,CTR-B9F28362B79B,6,5. Confidentiality,5. Confidentiality Each party agrees to protect the other party's confidential information using at least reasonable care and not less than the standard it uses to protect its own confidential information.,1,General,2026-06-14 13:49:49.925785 UTC
CTR-B9F28362B79B-CL-007,CTR-B9F28362B79B,7,6. Termination,"6. Termination Either party may terminate for material breach if such breach remains uncured for thirty (30) days after written notice. Customer may also terminate for convenience upon ninety (90) days' written notice, but no prepaid fees shall be refunded.",1,General,2026-06-14 13:49:49.925790 UTC
CTR-B9F28362B79B-CL-008,CTR-B9F28362B79B,8,7. Data Processing,"7. Data Processing Where personal data is processed, the parties shall execute a separate data processing addendum. Until such addendum is signed, Customer shall not transfer regulated personal data to Vendor systems.",1,General,2026-06-14 13:49:49.925794 UTC
CTR-B9F28362B79B-CL-009,CTR-B9F28362B79B,9,8. Liability,"8. Liability Vendor's aggregate liability shall not exceed fees paid in the preceding six (6) months, except for fraud or wilful misconduct. Author note: Contains auto-renewal and non-refundable prepaid fees on convenience termination.",1,General,2026-06-14 13:49:49.925798 UTC
CTR-4BE8D6DA03B3-CL-001,CTR-4BE8D6DA03B3,1,,"Mutual Non-Disclosure Agreement Parties: Fabrikam Advanced Engineering Co. and Litware Analytics Private Limited Effective Date: 20 March 2026 Jurisdiction: Singapore Illustrative Risk Profile: Low This is a synthetic mock contract created for solution design, extraction, and risk-assessment demonstrations.",1,General,2026-06-14 13:50:03.111928 UTC
CTR-4BE8D6DA03B3-CL-002,CTR-4BE8D6DA03B3,2,1. Purpose,1. Purpose The parties wish to evaluate a potential business relationship relating to enterprise contract lifecycle analytics.,1,General,2026-06-14 13:50:03.111944 UTC
CTR-4BE8D6DA03B3-CL-003,CTR-4BE8D6DA03B3,3,2. Definition of Confidential Information,"2. Definition of Confidential Information Confidential Information means non-public technical, financial, commercial, security, and business information disclosed by one party to the other in any form and identified as confidential or that reasonably should be understood to be confidential.",1,General,2026-06-14 13:50:03.111949 UTC
CTR-4BE8D6DA03B3-CL-004,CTR-4BE8D6DA03B3,4,3. Use and Protection,"3. Use and Protection The receiving party shall use Confidential Information solely for the Purpose and shall protect it using at least the same degree of care it uses to protect its own confidential information, but no less than reasonable care.",1,General,2026-06-14 13:50:03.111952 UTC
CTR-4BE8D6DA03B3-CL-005,CTR-4BE8D6DA03B3,5,4. Exclusions,"4. Exclusions Confidential Information does not include information that is or becomes public through no fault of the receiving party, was already known without restriction, is independently developed, or is rightfully received from a third party.",1,General,2026-06-14 13:50:03.111956 UTC
CTR-4BE8D6DA03B3-CL-006,CTR-4BE8D6DA03B3,6,5. Term and Return,"5. Term and Return The term of this Agreement is two (2) years. Confidentiality obligations survive for five (5) years after disclosure. Upon request, the receiving party shall return or securely destroy Confidential Information, subject to legal retention requirements.",1,General,2026-06-14 13:50:03.111959 UTC
CTR-4BE8D6DA03B3-CL-007,CTR-4BE8D6DA03B3,7,6. Remedies,6. Remedies The disclosing party may seek injunctive relief for unauthorised disclosure in addition to any other remedies available at law.,1,General,2026-06-14 13:50:03.111962 UTC
CTR-4BE8D6DA03B3-CL-008,CTR-4BE8D6DA03B3,8,7. Governing Law,7. Governing Law This Agreement shall be governed by the laws of Singapore.,1,General,2026-06-14 13:50:03.111965 UTC
CTR-4BE8D6DA03B3-CL-009,CTR-4BE8D6DA03B3,9,8. Entire Agreement,8. Entire Agreement This Agreement constitutes the entire agreement between the parties with respect to its subject matter and may be amended only in writing signed by both parties. Author note: Mostly balanced and low-risk.,1,General,2026-06-14 13:50:03.111967 UTC
CTR-DFAF17A13D74-CL-001,CTR-DFAF17A13D74,1,,"Data Processing Addendum Parties: Adventure Works Group and Vertex Insights Cloud Services LLC Effective Date: 05 April 2026 Jurisdiction: Delaware, USA Illustrative Risk Profile: High This is a synthetic mock contract created for solution design, extraction, and risk-assessment demonstrations.",1,General,2026-06-14 13:50:13.911748 UTC
CTR-DFAF17A13D74-CL-002,CTR-DFAF17A13D74,2,1. Processing Instructions,"1. Processing Instructions Processor shall process personal data solely on documented instructions from Controller, except where required by applicable law.",1,General,2026-06-14 13:50:13.911765 UTC
CTR-DFAF17A13D74-CL-003,CTR-DFAF17A13D74,3,2. Cross-Border Transfers,"2. Cross-Border Transfers Controller hereby authorises Processor to transfer personal data to any country in which Processor or its subprocessors operate, without further notice, provided Processor considers such transfer commercially necessary.",1,General,2026-06-14 13:50:13.911770 UTC
CTR-DFAF17A13D74-CL-004,CTR-DFAF17A13D74,4,3. Security Measures,"3. Security Measures Processor shall maintain administrative, physical, and technical safeguards that it deems appropriate in its sole discretion.",1,General,2026-06-14 13:50:13.911773 UTC
CTR-DFAF17A13D74-CL-005,CTR-DFAF17A13D74,5,4. Subprocessors,4. Subprocessors Processor may appoint subprocessors at any time without prior notice or objection rights for Controller.,1,General,2026-06-14 13:50:13.911776 UTC
CTR-DFAF17A13D74-CL-006,CTR-DFAF17A13D74,6,5. Breach Notification,5. Breach Notification Processor shall notify Controller of a confirmed personal data breach within fifteen (15) business days after Processor completes its internal investigation.,1,General,2026-06-14 13:50:13.911779 UTC
CTR-DFAF17A13D74-CL-007,CTR-DFAF17A13D74,7,6. Audit Rights,6. Audit Rights Controller may request one summary compliance statement per year. On-site audits are not permitted.,1,General,2026-06-14 13:50:13.911782 UTC
CTR-DFAF17A13D74-CL-008,CTR-DFAF17A13D74,8,7. Liability,7. Liability Processor's aggregate liability for any claim arising from this Addendum shall not exceed one month of fees paid under the main agreement.,1,General,2026-06-14 13:50:13.911784 UTC
CTR-DFAF17A13D74-CL-009,CTR-DFAF17A13D74,9,8. Deletion and Return,"8. Deletion and Return Upon termination, Processor may retain personal data for as long as needed for business continuity, archival, analytics, or legal purposes. Author note: Contains weak security, unrestricted transfers, delayed breach notification, no audit rights, long retention.",1,General,2026-06-14 13:50:13.911787 UTC
CTR-B378A05887AA-CL-001,CTR-B378A05887AA,1,,"Procurement Framework Agreement Parties: Tailspin Manufacturing PLC and BluePeak Supply Chain Services Pvt. Ltd. Effective Date: 10 May 2026 Jurisdiction: India Illustrative Risk Profile: Mixed This is a synthetic mock contract created for solution design, extraction, and risk-assessment demonstrations.",1,General,2026-06-14 13:50:23.963603 UTC
